# Trinity PE 2949 AOB / offset manifest
# generated by tools/audit/pe2949_audit.py from the current source tree
# format: <file>:<line>:<kind>	<symbol>	<pattern|value>

src/game/offsets.h:642:sig	kSig_InvPickupCapacity2949	84 D2 74 07 0F B7 4C 24 48 EB 0F 0F B7 4F 14 66 39 4C 24 48 66 0F 4C 4C 24 48 66 89 4C 24 32
src/game/offsets.h:673:sig	kSig_InvHolderInsert	48 89 5C 24 ? 4C 89 44 24 ? 48 89 54 24 ? 48 89 4C 24 ? 55 56 57 41 54 41 55 41 56 41 57 48 8D AC 24 ? ? ? ? 48 81 EC 10 03 00 00
src/game/offsets.h:680:sig	kSig_InvHolderInsert201	48 89 5C 24 20 4C 89 44 24 18 48 89 54 24 10 48 89 4C 24 08 55 56 57 41 54 41 55 41 56 41 57 48 8D AC 24 00 FE FF FF 48 81 EC 00 03 00 00
src/game/offsets.h:690:sig	kSig_InvHolderInsert2944	48 89 5C 24 20 4C 89 44 24 18 48 89 54 24 10 48 89 4C 24 08 55 56 57 41 54 41 55 41 56 41 57 48 8D AC 24 F0 FD FF FF 48 81 EC 10 03 00 00
src/game/offsets.h:694:sig	kSig_InvHolderInsert_Legacy	48 89 5C 24 ? 4C 89 44 24 ? 48 89 54 24 ? 48 89 4C 24 ? 55 56 57 41 54 41 55 41 56 41 57 48 8D AC 24 ? ? ? ? 48 81 EC F0 02 00 00
src/game/offsets.h:729:sig	kSig_InvCommit	48 89 5C 24 18 66 44 89 4C 24 20 48 89 54 24 10 48 89 4C 24 08 55 56 57 41 54 41 55 41 56 41 57 48 8D AC 24 00 FF FF FF 48 81 EC 00 02 00 00
src/game/offsets.h:733:sig	kSig_InvCommit_Pre201	4C 89 44 24 ? 48 89 54 24 ? 48 89 4C 24 ? 55 53 56 57 41 54 41 55 41 56 41 57 48 8D 6C 24 ? 48 81 EC 48 01 00 00 4D 8B D0 48 8B D1
src/game/offsets.h:755:sig	kSig_InvCoreGlobal	48 8B 05 ? ? ? ? 48 8B 48 30 48 8B 49 50 48 89 8D E0 02 00 00 48 85 C9
src/game/offsets.h:757:sig	kSig_InvCoreGlobal_Pre201	48 89 54 24 ? 53 48 83 EC 30 48 8B DA C7 44 24 20 00 00 00 00 48 8B 05 ? ? ? ? 48 8B 50 30 48 8B 52 50 48 8B CB E8
src/game/offsets.h:760:offset	kOff_Global_Mid	0x30
src/game/offsets.h:761:offset	kOff_Mid_Container	0x50
src/game/offsets.h:762:offset	kOff_Container_Sub	0x68
src/game/offsets.h:763:offset	kOff_Sub_Holder	0xB8
src/game/offsets.h:781:offset	kOff_InvHolder_Buckets	0x18
src/game/offsets.h:782:offset	kOff_InvHolder_Count	0x20
src/game/offsets.h:783:offset	kOff_InvBucket_Slots	0x00
src/game/offsets.h:790:offset	kOff_InvBucket_Count	0x08
src/game/offsets.h:791:offset	kOff_InvBucket_Type	0x10
src/game/offsets.h:805:offset	kOff_InvBucket_MaxSlots	0x14
src/game/offsets.h:809:offset	kOff_InvBucket_DeltaRaw	0x16
src/game/offsets.h:810:offset	kOff_InvBucket_DeltaClamped	0x18
src/game/offsets.h:839:offset	kOff_InvBucket_UsedSlots	0x12
src/game/offsets.h:861:offset	kOff_InvBucket_ExpandSlots	0x1A
src/game/offsets.h:863:offset	kInvSlot_Stride	0xC8
src/game/offsets.h:864:offset	kOff_InvSlot_TypeId	0x08
src/game/offsets.h:865:offset	kOff_InvSlot_Quantity	0x10
src/game/offsets.h:866:offset	kInvSlot_EmptyType	0xFFFF
src/game/offsets.h:914:sig	kSig_TrItemValueCtor	48 89 5C 24 18 48 89 4C 24 08 55 56 57 41 54 41 55 41 56 41 57 48 8B EC 48 83 EC 70 4C 8B F2 4C 8B E1
src/game/offsets.h:917:sig	kSig_TrItemValueCtor_Pre201	48 89 5C 24 ? 48 89 4C 24 ? 55 56 57 41 54 41 55 41 56 41 57 48 8B EC 48 83 EC 60 4C 8B EA 48 8B F1 48 C7 01 FF FF FF FF 0F B7 02 66 89 41 08
src/game/offsets.h:927:sig	kSig_InvCommitPlacement	48 89 5C 24 ? 4C 89 44 24 ? 55 56 57 48 83 EC 30 41 0F B7 59
src/game/offsets.h:932:sig	kSig_InvCommitPlacement201	48 89 5C 24 10 48 89 6C 24 20 56 57 41 56 48 83 EC 30 41 0F B7 58 08 48 8B F1 48 8D 4C 24 50 66 89 5C 24 50 45 0F B7 F1
src/game/offsets.h:944:sig	kSig_InvFreePlacements	48 89 4C 24 08 53 48 83 EC 20 48 8B D9 48 8B 09 8B 43 08 48 69 D0 D8 00 00 00 48 03 D1 E8 ? ? ? ? 90 48 8B 0B 48 8D 43 10 48 3B C8
